pronombre,equipo,accesibilidad,pais,comunidad,nivel_educativo,area_formacion,investigacion,investigacion_anios,conoces_proyecto,conoces_pgd,conoces_hipotesis,conoces_datos,conoces_codigo,conoces_instrumentos,conoces_resultados1,conoces_resultados2,animas,importante_preregistrar,importante_instrumentos,importante_datosocodigo,importante_resultados1,importante_resultados2
El,"Sí, participaré junto con otras personas con las que trabajo",comunicacion por voz,Argentina,"Personas de origen socioeconómico desfavorecido,",Secundario completo,Ingenierías,Sí,6,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,NA,Neutral,Muy importante,Neutral,Neutral,Neutral
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,NA,Posgrado incompleto,Ciencias Naturales y Exactas,Sí,10,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Importante,Importante,Importante,Importante
Ella,"No, participaré por mi cuenta",NA,Argentina,NA,Universitario/terciario completo,Ingenierías,No,NA,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,NA,Neutral,Neutral,Neutral,Neutral,Neutral
Ella,"No, participaré por mi cuenta","Les agradezco si puedo tener la grabación del evento así puedo adaptarlo a mi forma de aprender, soy adulta autista y mi interés profundo es la educación y la programación. Me dedico específicamente a diseñar materiales didácticos accesibles.",Argentina,"Personas con discapacidad, Personas de origen socioeconómico desfavorecido",Universitario/terciario incompleto,Ciencias Naturales y Exactas,Sí,26,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Muy importante,Muy importante,Muy importante,Muy importante
El,"No, participaré por mi cuenta",NA,Chile,Personas de origen socioeconómico desfavorecido,Posgrado completo,Ciencias Naturales y Exactas,Sí,4,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Neutral,Neutral,Muy importante,Muy importante,Neutral
Ella,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ciencias Naturales y Exactas,Sí,7,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Muy importante,Muy importante,Muy importante,Muy importante
Ella,"No, participaré por mi cuenta",subiendo la grabación del evento para verlo en diferido en caso de problemas de conexión,Argentina,Mujeres y géneros minoritarios,Posgrado completo,Ingenierías,Sí,15,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,Muy importante,Muy importante,Muy importante,Importante
Ella,"No, participaré por mi cuenta",NA,Argentina,Mujeres y géneros minoritarios,Universitario/terciario completo,Ciencias Económicas,Sí,4,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,No conozco esta práctica,publicar datos o código en repositorios abiertos?,Nada importante,Muy importante,Muy importante,Muy importante,Muy importante
El,"Sí, participaré junto con otras personas con las que trabajo",NA,Argentina,NA,Universitario/terciario completo,Ciencias Sociales,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ella,"No, participaré por mi cuenta",Me vendría bien que suban la grabación del evento para verlo en diferido en caso de problemas de conexión.,Argentina,"Mujeres y géneros minoritarios, Personas de origen socioeconómico desfavorecido",Posgrado completo,Ciencias Naturales y Exactas,Sí,23,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,NA,Importante,Importante,Muy importante,Muy importante,Importante
El,"No, participaré por mi cuenta",Ninguna por el momento,Bolivia,"Personas de origen socioeconómico desfavorecido, Pueblos originarios",Universitario/terciario completo,Ciencias de la Salud,Sí,4,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
El,"Sí, participaré junto con otras personas con las que trabajo",NA,Ecuador,Personas de origen socioeconómico desfavorecido,Universitario/terciario incompleto,Analista de datos,Sí,0,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,"publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Muy importante,Muy importante,Muy importante,Muy importante
